Pos1	Pos2	Chrom	InitGen	FinalGen
0.14739033181586303	0.47600037329761036	0	1	8
0.3385806966637007	0.7595492907321466	0	5	6
0.4872914556215877	0.9243920271754195	0	6	9
0.033028651416523	0.5525095430150592	0	9	10
0.046636563486081584	0.7427922426062393	0	10	11
0.38979644730940954	0.8477025941280745	0	11	12
0.018466247793505475	0.5121397810104485	0	11	13
0.3461044695887837	0.8389326041315658	0	12	14
0.021041017601661993	0.8004620837312765	0	12	13
0.4202889534539763	0.4995313322494306	0	12	14
0.3791624502183827	0.6078119183121323	0	13	14
0.6694862821944112	0.7635790570867727	0	14	15
0.35672283499823054	0.5365343230255888	0	15	17
0.4056662480857852	0.6255090544224655	0	16	17
0.5153657989901241	0.6582157050399225	0	17	19
0.4573155132051868	0.6616444438667347	0	18	19
0.26818312120227317	0.4339585262192345	0	18	21
0.032389414858617016	0.7699918927984383	0	20	23
0.3284798736378063	0.797182977972902	0	21	27
0.8311674049599241	0.8832760944226763	0	23	24
0.2261740171768999	0.9079630023532403	0	24	25
0.03178714475707212	0.04328929874279108	0	24	27
0.07695915209297322	0.4849932041636271	0	25	29
0.234592994418107	0.8124644447365817	0	25	26
0.29940157572121673	0.7320311918973385	0	25	26
0.7929257095751577	0.990881410734713	0	26	27
0.4336453727066214	0.9251108280273073	0	29	30
0.30328816962789673	0.3877135611354382	0	31	32
0.5277905716176606	0.9760837953266422	0	31	32
0.37366901420956555	0.5377169645669245	0	31	33
0.4776715746090885	0.9605236682947331	0	32	34
0.17029593261184972	0.6346703064845101	0	32	33
0.30414051250204543	0.49862108001245264	0	33	34
0.04650898841049944	0.9430275141922998	0	37	38
0.4417933134267099	0.9550188864903775	0	37	41
0.6420296265852491	0.716251099397746	0	37	41
0.4153064722791847	0.8150747353055591	0	39	40
0.7378055438154045	0.8330127378841008	0	40	41
0.10284670761492043	0.48741950407672596	0	41	42
0.21481831919496897	0.5188471232741447	0	42	43
0.12620394607005314	0.9481271594387953	0	43	45
0.281091278762052	0.9259344247605249	0	45	46
0.5897639396017346	0.7720863166760209	0	45	46
0.2831341626223005	0.4135853650023096	0	46	49
0.6997219225456561	0.880562061670722	0	46	48
0.016828473551069645	0.8985037334164502	0	47	48
0.717384761278755	0.9332041698824023	0	47	48
0.20268703586257864	0.2942063248585368	0	48	53
0.5085937277149366	0.7020305062187203	0	48	49
0.6928257766435725	0.8496949110826086	0	49	51
0.06005793644714996	0.620639596509232	0	50	58
0.5722576755818594	0.7970163197955012	0	51	52
0.38738653463279304	0.4425012966068679	0	52	54
0.6260382864640559	0.9857286506251851	0	52	54
0.03170708316897497	0.21927298526933325	0	52	54
0.7340999887186684	0.914510598854213	0	53	54
0.7698566063602701	0.9373395208801633	0	53	54
0.33884618976165104	0.6886160460959821	0	54	55
0.10154860773373775	0.4674682977459508	0	54	56
0.33277055175826953	0.7545264795454303	0	56	57
0.1960213135263007	0.2711891491286913	0	59	61
0.8210782343514677	0.9790698223159369	0	60	61
0.06453849645390031	0.5626218647644572	0	61	63
0.5232660173785398	0.843145173781379	0	62	63
0.4171618481141548	0.8780903987689128	0	64	65
0.276905314385793	0.6827353548166016	0	64	65
0.09378424553200937	0.34856203018521414	0	64	68
0.5724686327274444	0.658588628111812	0	65	68
0.34852273846390114	0.8530012173334879	0	66	67
0.9003691085995523	0.9337386294776292	0	68	69
0.18412658774989032	0.5542906542693656	0	69	70
0.15593393964241953	0.2647390630266916	0	70	77
0.5863258845937989	0.9720658276914736	0	71	72
0.5011434198708156	0.5836073115869085	0	71	72
0.22573664578783714	0.36200189981136144	0	72	73
0.03912074638847063	0.26872819771871714	0	72	73
0.3073615464159979	0.6404633123037448	0	72	74
0.6926599469336014	0.8187288791604669	0	74	75
0.0692021439182966	0.7749317433641977	0	75	76
0.9258607953048902	0.9790270519617041	0	75	76
0.4595399516086819	0.5867267221642088	0	78	79
0.38799954829853733	0.9738987338700198	0	79	80
0.5124906365961783	0.9169200717744952	0	80	85
0.39201764560500885	0.9942560751024276	0	81	83
0.5607463952309086	0.567096281478723	0	81	85
0.2527253467954651	0.6780988743773174	0	82	83
0.36742375539770755	0.4898526337459512	0	82	83
0.4274525730689309	0.8077491679126366	0	83	-1
0.10822648416357028	0.6521947312094968	0	83	85
0.026027854166915	0.12662479298114426	0	84	90
0.008039419065394515	0.30378913486003645	0	84	95
0.11154289172480769	0.49531883794009446	0	84	86
0.36159734949757627	0.8486612522907396	0	85	87
0.11260408367851682	0.5322443231899907	0	86	92
0.05636094668788938	0.22459045696652613	0	87	88
0.10383809303927638	0.864936043689004	0	88	89
0.6528139444621855	0.6625819236598982	0	90	91
0.1582591773625357	0.5907277747859535	0	92	94
0.8859693596812032	0.999415570093489	0	93	94
0.18996074018549935	0.19149697298761748	0	96	97
0.2758489300167053	0.6196990675939635	0	96	97
0.23791784923932835	0.612756516343046	0	96	97
0.289512074793848	0.3148834792844849	0	97	98
0.6067012010976445	0.9622417166419087	0	98	100
0.5403627639549758	0.8084449968110907	0	98	99
