Pos	SurEf	RepEf	Chrom	InitGen	FinalGen
0.40767895899606343	0.2535188293107975	0.9005663494908759	0	1	9
0.3204023225385053	0.9176190126125991	0.363997619077553	0	1	2
0.24370679803704276	0.37315943956705366	0.963775440848032	0	1	2
0.7977043995157981	0.8589028615986407	0.6815227276312142	0	1	22
0.12836336211662935	0.523915949706119	0.2715262087773729	0	1	2
0.3361632302410088	0.5157728784861313	0.3449089791588811	0	1	7
0.6319257470741999	0.016747725271880287	0.5033258527383239	0	2	3
0.24694539188035602	0.3295132169642323	0.750510196137259	0	2	4
0.3179143814083012	0.24035238271095094	0.3612674729331927	0	2	3
0.6680957720654205	0.388393479135684	0.5823299765666666	0	2	5
0.7277766159482875	0.24658902779459135	0.20170337839527308	0	2	4
0.2631820141500576	0.6160527712948418	0.3694651450422305	0	2	5
0.13566883857481937	0.6991796253096799	0.8331244248216092	0	2	3
0.4650850850525724	0.5741693359815632	0.2732098709073617	0	2	4
0.940833005024699	0.7608251682326111	0.6606607702395813	0	2	3
0.15976853599591478	0.5606326528119804	0.6944554409690002	0	2	14
0.3668257856235888	0.5497344967376616	0.1765473079388612	0	3	4
0.4651274903408007	0.21771992889988168	0.17863576663702085	0	3	4
0.8372846655437914	0.29556027110097227	0.7649075466069261	0	3	7
0.24206736085560054	0.017416791438958135	0.6232387235458907	0	3	4
0.30629256377546044	0.20454685504718728	0.6077993048147918	0	3	6
0.9208088307439126	0.08242212897686518	0.7643556188663099	0	3	5
0.08241606240326049	0.024075058542107453	0.3371932053891995	0	3	4
0.7621624660505656	0.23534498740949006	0.37507039539073805	0	3	5
0.5705426213067202	0.13251445595705735	0.06565882346811236	0	3	4
0.05590469410588417	0.26056925355254923	0.03313920378149915	0	3	4
0.8432547313349785	0.5896937554005988	0.13244618724028112	0	3	4
0.13884316453113932	0.21872822004527126	0.6561341705110205	0	4	6
0.2998582486166502	0.5961392008499629	0.9746309145117635	0	4	-1
0.491548892044012	0.08751768457177034	0.12835345413420363	0	4	7
0.9291027632813896	0.9308359700387947	0.5512430678708187	0	4	6
0.803124559549157	0.00935859361399849	0.17245109578289297	0	4	5
0.208695929608128	0.9710237451559931	0.4844247478415892	0	4	5
0.23970587648752173	0.564778438012014	0.0295723144940363	0	4	5
0.6354037496651158	0.7013946406457517	0.6712425574530037	0	4	15
0.5592600206555766	0.47550026122197797	0.96249985578915	0	4	36
0.7168725918427262	0.32939987016371797	0.23699801703651557	0	4	5
0.2276727807056459	0.2370462922324702	0.6193195735459183	0	5	6
0.6446323450203254	0.17923322227764638	0.1681292613613593	0	5	6
0.11384669731029995	0.7744380874408062	0.46340429048199416	0	5	11
0.7604083421672487	0.5545662770909713	0.9021594638745437	0	5	10
0.29313598143654696	0.2859492005662474	0.9760185766829644	0	5	8
0.2967681332862043	0.40933670421560897	0.27769207377175287	0	5	11
0.025725859453164523	0.4032858618301234	0.44174327023774396	0	6	7
0.8791957287828704	0.28680435542101956	0.29519482388632223	0	6	8
0.07911614047016413	0.5987321813374515	0.7274856751739782	0	6	16
0.6081279516764558	0.6527494961018792	0.6154245604151858	0	6	7
0.281844117098642	0.040308880882320874	0.2440566854821259	0	6	7
0.7563660743382775	0.8821587075408205	0.03599235515236909	0	6	7
0.8556456179771504	0.5387211053300944	0.3010790330985519	0	7	10
0.9956370425047669	0.8483072500630107	0.5083874139141777	0	7	-1
0.995803495079939	0.028828096220500754	0.12773410911688665	0	7	8
0.9422650256249693	0.6425039530343137	0.6454127158492464	0	7	19
0.48182622354158167	0.3291392597664359	0.1412733611581295	0	7	8
0.4872138684616558	0.17879970839446113	0.5741948854807215	0	7	8
0.3837642588263669	0.9290697062186577	0.8610765120597411	0	7	9
0.8207196731363224	0.7066933876537876	0.2023914258206554	0	7	9
0.6206335885488184	0.2353131600150331	0.7577674468721145	0	7	10
0.9098670357928916	0.646457617852839	0.5226693998671985	0	7	8
0.30234610397163564	0.9693193109961457	0.531369678026427	0	7	-1
0.21069898481104188	0.0028848843225274257	0.3122415349935812	0	8	9
0.33837979168313603	0.044984992821093694	0.7701784409330991	0	8	9
0.07345010961882836	0.4869676380623984	0.7154445820997819	0	8	9
0.37154146974743174	0.742867143392244	0.06008539578537675	0	8	9
